"fr","en"
"** Test du Chi-2 non significatif à 5 % : bon ajustement du modèle.","** Chi-2 test non-significant at 5%: good fit of the model."
"Doses létales et intervalles à %d %% :","Lethal doses and intervals at %d %%:"
"log.Dose","log.Dose"
"Dose","Dose"
"Limite inf.","Lower limit"
"Limite sup.","Upper limit"
"Intervalle","Interval"
"DL %g","LD %g"
"Pop.test","Pop.tested"
"Mort.","Dead"
"log.dose","log.dose"
"Mort.corrigée","Corr.mortality"
"Probit corr.","Corr. probit"
"Mort.attendue","Exp.mortality"
"Probit att.","Exp. probit"
"Aucune ligne exploitable : les colonnes choisies ne contiennent pas de nombres.","No usable row: the chosen columns contain no numbers."
"%d essais dans la colonne de regroupement : la limite est de %d.","%d trials in the grouping column: the limit is %d."
"Essai","Trial"
"Dose (échelle logarithmique)","Dose (logarithmic scale)"
"Mortalité (probit)","Mortality (probit)"
"Mortalité (%)","Mortality (%)"
"Effectif testé","Tested sample size"
"Morts","Dead"
"(aucune)","(none)"
"Six essais sont déjà en mémoire : retirez-en un avant d'en ajouter (limite de WIN DL, %d).","Six trials are already in memory: remove one before adding another (WIN DL limit, %d)."
"%d essais retenus sur %d : la mémoire n'accepte que %d essais au total.","%d trials kept out of %d: memory accepts only %d trials in total."
"Essai enregistré : %d dose(s), témoin %g/%g.","Trial saved: %d dose(s), control %g/%g."
"Aucun essai exploitable dans les colonnes choisies.","No usable trial in the chosen columns."
"%d essai(s) importé(s) du jeu de données%s.","%d trial(s) imported from the dataset%s."
"; %d écarté(s), faute de doses exploitables","; %d discarded, for lack of usable doses"
"%s : %s","%s: %s"
"%d fichier(s) WIN DL lu(s).","%d WIN DL file(s) read."
"Aucun essai en mémoire. Saisissez des doses, importez le jeu de données ou ouvrez un fichier WIN DL.","No trial in memory. Enter doses, import the dataset, or open a WIN DL file."
"%d doses, témoin %g/%g","%d doses, control %g/%g"
"Aucun essai en mémoire : commencez par l'onglet « L'essai ».","No trial in memory: start with the “The trial” tab."
"L'estimation n'a pas convergé en %d itérations : les résultats ci-dessous sont ceux de la dernière itération.","The estimation did not converge in %d iterations: the results below are those of the last iteration."
"Équation :","Equation:"
"Mortalité naturelle estimée :","Estimated natural mortality:"
"Test d'ajustement :","Goodness-of-fit test:"
"ajustement rejeté à 5 %% : facteur d'hétérogénéité %.3f appliqué aux variances, quantile de Student retenu.","fit rejected at 5 %%: heterogeneity factor %.3f applied to the variances, Student quantile used."
"ajustement probit légitime.","probit fit legitimate."
"test non calculable.","test not computable."
"Convergence :","Convergence:"
"%d itérations","%d iterations"
"Aucun résultat à afficher.","No result to display."
"Paramètre","Parameter"
"Estimation","Estimate"
"Seuil (%)","Threshold (%)"
"log10(dose)","log10(dose)"
"Limite inférieure","Lower limit"
"Limite supérieure","Upper limit"
"Type d'intervalle","Interval type"
"Mortalité observée","Observed mortality"
"Mortalité corrigée","Corrected mortality"
"Probit corrigé","Corrected probit"
"Mortalité attendue","Expected mortality"
"Probit attendu","Expected probit"
"Aucun résultat : l'ajustement n'a pas abouti.","No result: the fit did not succeed."
"Aucun essai en mémoire.","No trial in memory."
"Aucun essai ajustable : vérifiez les doses et les effectifs.","No fittable trial: check the doses and the sample sizes."
"Chargez au moins deux essais, puis lancez la comparaison.","Load at least two trials, then run the comparison."
"Hypothèse testée","Hypothesis tested"
"Chi-2","Chi-2"
"ddl","df"
"p","p"
"Conclusion","Conclusion"
"Saisissez au moins une dose strictement positive.","Enter at least one strictly positive dose."
"Mortalité","Mortality"
"Aucune mortalité exploitable : elle doit dépasser la mortalité naturelle et rester sous 100 %.","No usable mortality: it must exceed natural mortality and stay below 100%."
"Mortalité visée (%)","Target mortality (%)"
"Régression probit%s","Probit regression%s"
"Titre de l'essai","Trial title"
"Seuils de mortalité (%)","Mortality thresholds (%)"
"Titre de l'axe des doses","Dose axis title"
"Titre de l'axe des mortalités","Mortality axis title"
"Doses à évaluer","Doses to evaluate"
"Mortalités visées (%)","Target mortalities (%)"
"Colonne des doses","Dose column"
"Colonne des effectifs testés","Tested sample size column"
"Colonne des morts","Dead column"
"Colonne de regroupement (facultatif)","Grouping column (optional)"
"Essai analysé","Trial analysed"
"Palette (plusieurs essais)","Palette (several trials)"
"Témoin : individus testés","Control: individuals tested"
"Témoin : individus morts","Control: individuals dead"
"Risque α (intervalles)","Risk α (intervals)"
"Mortalité naturelle","Natural mortality"
"Points de l'essai (PE)","Trial points (TP)"
"Courbe de l'essai (CE)","Trial curve (TC)"
"Modèle ajusté (DR)","Fitted model (FM)"
"Intervalles (IF ou IC)","Intervals (FI or CI)"
"Repères DL10 / DL50 / DL90","LD10 / LD50 / LD90 reference lines"
"Tous les essais en mémoire","All trials in memory"
"Rapport .PRN (format WIN DL)",".PRN report (WIN DL format)"
"Essai .TXT (format WIN DL)",".TXT trial (WIN DL format)"
"Fichier d'essai WIN DL","WIN DL trial file"
"L'essai","The trial"
"Comparaison d'essais","Trial comparison"
"Dose ⇄ mortalité","Dose ⇄ mortality"
"D'où viennent les données","Where the data come from"
"Fiche de l'essai","Trial record"
"Doses et mortalités","Doses and mortalities"
"Essais en mémoire","Trials in memory"
"Paramètres de la régression","Parameters of the regression"
"Doses létales","Lethal doses"
"Détail par dose","Detail by dose"
"Ce qui est tracé","What is plotted"
"Droite de Henry","Henry line"
"Scénario sur la mortalité naturelle","Scenario on natural mortality"
"Tests du rapport de vraisemblance","Likelihood ratio tests"
"Une dose, quelle mortalité ?","One dose, what mortality?"
"Une mortalité, quelle dose ?","One mortality, what dose?"
"Maximum de vraisemblance sur tout l'essai (EM)","Maximum likelihood over the whole trial (EM)"
"Mortalité naturelle du seul témoin (Abbott)","Natural mortality from the control only (Abbott)"
"Mortalité naturelle fixée à zéro (hors WIN DL)","Natural mortality set to zero (not in WIN DL)"
"Mortalité naturelle propre à chaque essai (hétérogène, estimée)","Natural mortality specific to each trial (heterogeneous, estimated)"
"Mortalité naturelle commune à tous les essais (homogène, estimée)","Natural mortality common to all trials (homogeneous, estimated)"
"Mortalité naturelle fixée à 0 % pour tous les essais","Natural mortality fixed at 0% for all trials"
"Date de l'essai","Trial date"
"Auteur","Author"
"Espèce","Species"
"Stade","Stage"
"Durée","Duration"
"Température (°C)","Temperature (°C)"
"Matière active n°1","Active ingredient no. 1"
"Matière active n°2","Active ingredient no. 2"
"Ratio","Ratio"
"Méthode de traitement","Treatment method"
"Unité de dose","Dose unit"
"DL50 / CL50","LD50 / LC50"
"Vocabulaire & sélection","Vocabulary & selection"
"Listes déroulantes","Drop-down lists"
"Sélection multi-critères","Multi-criteria selection"
"Valeur à ajouter","Value to add"
"Liste à modifier","List to edit"
"Valeur à supprimer","Value to remove"
"Température minimale","Minimum temperature"
"Température maximale","Maximum temperature"
"Trier aussi sur la matière active n°2 et le ratio","Also filter on active ingredient no. 2 and the ratio"
"Exporter la liste (.TXT)","Export the list (.TXT)"
"Importer une liste (.TXT)","Import a list (.TXT)"
"« %s » ajouté à la liste.","“%s” added to the list."
"« %s » figure déjà dans la liste : rien n'a été ajouté.","“%s” is already in the list: nothing was added."
"Aucun essai en mémoire : il n'y a rien d'où régénérer les listes.","No trial in memory: there is nothing to regenerate the lists from."
"Listes régénérées depuis %d essai(s). Vérifiez leur contenu : deux orthographes d'un même terme y figureraient toutes les deux.","Lists regenerated from %d trial(s). Check their content: two spellings of the same term would both appear."
"Fichier de liste vide ou illisible.","Empty or unreadable list file."
"%d valeur(s) lue(s) dans le fichier.","%d value(s) read from the file."
"Aucune sélection active : les %d essai(s) en mémoire sont analysés.","No active selection: the %d trial(s) in memory are analysed."
"Aucun essai ne correspond aux critères : la sélection est vide. Élargissez les critères ou annulez-la.","No trial matches the criteria: the selection is empty. Widen the criteria or cancel it."
"%d essai(s) retenu(s) sur %d.","%d trial(s) kept out of %d."
"Aucun essai retenu.","No trial kept."
"Doses","Doses"
"Options du graphique","Plot options"
"Titre de l'axe des pourcentages","Percentage axis title"
"Style des titres d'axe","Axis title style"
"Style des graduations X","X tick style"
"Style des graduations Y","Y tick style"
"Forme des points","Point shape"
"Trait de la droite","Line type of the fitted line"
"Trait de la courbe","Line type of the trial curve"
"Trait des repères","Line type of the reference lines"
"Taille du titre","Title size"
"Taille du sous-titre","Subtitle size"
"Taille des titres d'axe","Axis title size"
"Taille des graduations X","X tick size"
"Angle des graduations X","X tick angle"
"Taille des graduations Y","Y tick size"
"Dose minimale","Minimum dose"
"Dose maximale","Maximum dose"
"Mortalité minimale (%)","Minimum mortality (%)"
"Mortalité maximale (%)","Maximum mortality (%)"
"Opacité des points","Point opacity"
"Épaisseur de la droite","Fitted line width"
"Épaisseur de la courbe","Trial curve width"
"Opacité des intervalles","Interval band opacity"
"Épaisseur des repères","Reference line width"
"Taille de police de base","Base font size"
"Taille de la légende","Legend size"
"Taille du titre de légende","Legend title size"
"Largeur (pixels)","Width (pixels)"
"Hauteur (pixels)","Height (pixels)"
"Second axe en pourcentage","Secondary percentage axis"
"Étiqueter les repères","Label the reference lines"
"Afficher la grille","Show the grid"
"Erreur-type","Standard error"
"DL ± erreur-type","LD ± standard error"
"DL ± écart-type","LD ± standard deviation"
"Terme constant (a)","Intercept (a)"
"probit","probit"
"probit / log10(dose)","probit / log10(dose)"
"Mortalité naturelle (c)","Natural mortality (c)"
"proportion","proportion"
"Mortalité naturelle du témoin","Natural mortality of the control"
"Écart-type des tolérances (1/b)","Standard deviation of tolerances (1/b)"
"Covariance a-b (Vab)","Covariance a-b (Vab)"
"Covariance a-c (Vac)","Covariance a-c (Vac)"
"Covariance b-c (Vbc)","Covariance b-c (Vbc)"
"Log-vraisemblance du modèle (H0)","Model log-likelihood (H0)"
"Log-vraisemblance saturée (H1)","Saturated log-likelihood (H1)"
"Chi-2 d'ajustement","Goodness-of-fit Chi-2"
"Probabilité de dépassement du Chi-2","Probability of exceeding the Chi-2"
"Facteur d'hétérogénéité","Heterogeneity factor"
"Quantile employé pour les intervalles","Quantile used for the intervals"
"Risque α","Risk α"
"Nombre de doses","Number of doses"
"Doses à 0 % après correction","Doses at 0% after correction"
"Doses à 100 % après correction","Doses at 100% after correction"
"Itérations","Iterations"
"Graphique exporté : %s, %s × %s pixels à %s DPI.","Plot exported: %s, %s × %s pixels at %s DPI."
"Export impossible : aucun essai ajustable, ou dimensions trop grandes. Réduisez la taille ou le DPI, ou choisissez un format vectoriel (SVG, PDF).","Export impossible: no fittable trial, or dimensions too large. Reduce the size or the DPI, or choose a vector format (SVG, PDF)."
"La mortalité décroît quand la dose augmente : la droite de Henry n'a pas de sens ici. Vérifiez que les colonnes « effectif testé » et « morts » ne sont pas inversées, et que les doses correspondent bien aux mortalités.","Mortality decreases as the dose increases: a Henry line makes no sense here. Check that the “tested sample size” and “dead” columns are not swapped, and that the doses match the mortalities."
"%s (%s)","%s (%s)"
"extrapolée","extrapolated"
"interpolée","interpolated"
"Dose(s) létale(s) hors de l'étendue testée (%s à %s) : %s. Elles reposent sur le prolongement de la droite, là où aucune observation ne vient plus la contraindre.","Lethal dose(s) outside the tested range (%s to %s): %s. They rely on extending the line, where no observation constrains it any more."
"DL%g","LD%g"
"DL%g = %s%s   [%s ; %s]","LD%g = %s%s   [%s, %s]"
"Ajustement non testable : autant de doses que de paramètres estimés, il ne reste aucun degré de liberté résiduel.","Fit not testable: as many doses as estimated parameters, no residual degree of freedom is left."
"Ajustement rejeté à 5 %% (Chi-2 = %.3f, ddl = %d, p = %.4f) : facteur d'hétérogénéité %.3f appliqué aux variances.","Fit rejected at 5 %% (Chi-2 = %.3f, df = %d, p = %.4f): heterogeneity factor %.3f applied to the variances."
"Ajustement probit légitime (Chi-2 = %.3f, ddl = %d, p = %.4f).","Probit fit legitimate (Chi-2 = %.3f, df = %d, p = %.4f)."
"Test d'ajustement non calculable.","Goodness-of-fit test not computable."
"Mortalité du témoin élevée (%.1f %%) : au-delà de %.0f %%, la correction d'Abbott devient peu fiable et l'usage veut qu'on refasse l'essai.","Control mortality high (%.1f %%): above %.0f %%, the Abbott correction becomes unreliable and practice calls for repeating the trial."
"Cette dose est hors de l'étendue testée (%s à %s) : elle repose sur le prolongement de la droite.","This dose is outside the tested range (%s to %s): it relies on extending the line."
"Rien à coller : copiez trois colonnes (dose, effectif testé, morts) depuis votre tableur.","Nothing to paste: copy three columns (dose, tested sample size, dead) from your spreadsheet."
"Le collage ne contient que des en-têtes : il manque les lignes de données.","The paste contains only headers: the data rows are missing."
"Ligne(s) à moins de trois colonnes : %s. Il faut la dose, l'effectif testé et le nombre de morts.","Row(s) with fewer than three columns: %s. The dose, the tested sample size and the number of dead are needed."
"Valeur illisible dans le collage : vérifiez qu'il n'y a ni texte ni cellule vide dans les trois premières colonnes.","Unreadable value in the paste: check that there is no text and no empty cell in the first three columns."
"Dose en %s (échelle logarithmique)","Dose in %s (logarithmic scale)"
"%d ligne(s) collée(s) ; la virgule y a été lue comme %s.","%d row(s) pasted; the comma was read there as %s."
"une décimale","a decimal mark"
"un séparateur","a separator"
"Coller depuis un tableur","Paste from a spreadsheet"
"Remplir le tableau","Fill the table"
"Ajouter à la suite","Append"
"Rapport de puissance (ratio de résistance)","Potency ratio (resistance ratio)"
"Essai de référence","Reference trial"
"Le rapport de puissance demande au moins deux essais : c'est un rapport.","The potency ratio requires at least two trials: it is a ratio."
"L'ajustement à pente commune a échoué : le rapport de puissance n'est pas calculable.","The common-slope fit failed: the potency ratio cannot be computed."
"Matrice de variances non inversible sous le modèle à pente commune : le rapport se calcule, pas son intervalle. Augmentez les effectifs ou le nombre de doses.","Variance matrix not invertible under the common-slope model: the ratio can be computed, its interval cannot. Increase the sample sizes or the number of doses."
"Les droites ne sont pas parallèles : le rapport de puissance change avec le niveau de mortalité, et le chiffre ci-dessous ne vaut qu'à la DL50. Comparez les doses létales seuil par seuil plutôt que par un rapport unique.","The lines are not parallel: the potency ratio changes with the mortality level, and the figure below holds only at the LD50. Compare the lethal doses threshold by threshold rather than through a single ratio."
"Le test de parallélisme n'est pas calculable : le rapport ci-dessous suppose des droites parallèles sans que rien ne le confirme.","The parallelism test cannot be computed: the ratio below assumes parallel lines with nothing to confirm it."
"Référence : %s.","Reference: %s."
"Pente commune : %.4f.","Common slope: %.4f."
"Parallélisme : Chi-2 = %.3f, ddl = %d, p = %.4f — %s","Parallelism: Chi-2 = %.3f, df = %d, p = %.4f — %s"
"Chargez au moins deux essais, choisissez la référence, puis lancez le calcul.","Load at least two trials, choose the reference, then run the calculation."
"Référence","Reference"
"DL50","LD50"
"Droite de Henry (probit)","Henry line (probit)"
"Courbe dose-réponse (%)","Dose-response curve (%)"
"Mortalité observée (%)","Observed mortality (%)"
"mortalité naturelle","natural mortality"
"%s (doses %s)","%s (doses %s)"
"Mortalité corrigée nulle ou totale : ces doses n'ont pas de probit et ne figurent pas sur la droite de Henry — %s. La courbe dose-réponse les porte, elle.","Corrected mortality of zero or one hundred percent: these doses have no probit and do not appear on the Henry line — %s. The dose-response curve does carry them."
"Mortalité naturelle déclarée nulle alors que le témoin en compte %.1f %% : les doses sont analysées sans correction, et l'ajustement est jugé sur elles seules. Choisissez Abbott ou EM pour tenir compte du témoin.","Natural mortality declared to be zero although the control shows %.1f %%: the doses are analysed without correction, and goodness of fit is judged on them alone. Choose Abbott or EM to take the control into account."
"Fiche de l'essai (facultative)","Assay record (optional)"
"Troisième colonne","Third column"
"Morts (effectif)","Deaths (count)"
"Itérations (boucles EM de HStat)","Iterations (HStat EM loops)"
"** Convergence atteinte après %d itérations de HStat (écart absolu sur log-vraisemblance < 1e-5 ; le compte dépend de l'algorithme et ne se compare pas à celui de WIN DL)","** Convergence reached after %d HStat iterations (absolute change in log-likelihood < 1e-5; the count depends on the algorithm and is not comparable with WIN DL's)"
"Les pourcentages sont enregistrés en effectifs : %s. C'est l'effectif qui fait foi — un pourcentage plus fin que %d individus ne l'autorisent n'ajoute rien.","Percentages are stored as counts: %s. The count is what governs — a percentage finer than %d individuals allow adds nothing."
"Les %d essais totalisent %d doses : la limite du module de comparaison est de %d, comme dans WIN DL.","The %d assays total %d doses: the comparison module's limit is %d, as in WIN DL."
"Itérations maximum","Maximum iterations"
"Plafond d'itérations","Iteration ceiling"
"Chemin de convergence","Convergence path"
"Rapide — la vraisemblance la plus haute (défaut)","Fast — the highest likelihood (default)"
"Chemin de WIN DL — comparaison chiffre pour chiffre","WIN DL's path — figure-for-figure comparison"
"Chiffres significatifs affichés","Significant figures displayed"
"Aucun seuil exploitable : une dose létale se demande strictement entre 0 % et 100 % de mortalité.","No usable threshold: a lethal dose is asked for strictly between 0% and 100% mortality."
"Seuil(s) écarté(s) : %s. Une dose létale se demande strictement entre 0 %% et 100 %% de mortalité.","Threshold(s) dropped: %s. A lethal dose is asked for strictly between 0%% and 100%% mortality."
"Essai de référence hors bornes (%s) : il y en a %d.","Reference assay out of range (%s): there are %d."
"Début","Start"
"Élevé","High"
"ET(a)","SE(a)"
"ET(b)","SE(b)"
"ET(c)","SE(c)"
"A ET B","A AND B"
"A OU B","A OR B"
"Détail","Detail"
"Époque","Epoch"
"Modéré","Moderate"
"Prédit","Predicted"
"Rangée","Row"
"Résidu","Residual"
"Thèmes","Topics"
"Un peu","A little"
"10 à 20","10 to 20"
"Données","Data"
"Échec :","Failed:"
"Échelle","Scale"
"Le test","The test"
"Modérée","Moderate"
"Négatif","Negative"
"Observé","Observed"
"Période","Period"
"Résidus","Residuals"
"Scheffé","Scheffé"
"Décalage","Lag"
"Détail :","Detail:"
"Détecter","Detect"
"Erreur :","Error:"
"Exposé -","Exposed -"
"Exposé +","Exposed +"
"Médiocre","Poor"
"Métrique","Metric"
"Modèle :","Model:"
"Réplique","Replicate"
"Réponses","Responses"
"Y prédit","Y predicted"
"Croisés :","Crossed:"
"Différent","Different"
"Numérique","Numeric"
"Sélection","Selection"
"STL + ÉTS","STL + ETS"
"Y observé","Y observed"
"Aucun code","No code"
"Corrélés :","Correlated:"
"Définition","Definition"
"Écartées :","Excluded:"
"Énormément","Enormously"
"Erreur GLM","GLM error"
"Le piège :","The pitfall:"
"Ligne vide","Empty row"
"Méthodes :","Methods:"
"Modèle PLS","PLS model"
"Négatifs ?","Negatives?"
"Par défaut","Default"
"Paramètres","Settings"
"Repères DL","LD benchmarks"
"Répétition","Replication"
"Répondants","Respondents"
"Respectées","Met"
"Très élevé","Very high"
"Très forte","Very strong"
"Variable :","Variable:"
"Variable 1","Variable 1"
"Variable 2","Variable 2"
"Variable X","Variable X"
"Variables:","Variables:"
"6. À propos","6. About"
"À mesurer :","To measure:"
"Agrégation:","Aggregation:"
"Attention :","Warning:"
"Communautés","Communities"
"Erreur chi²","Chi-square error"
"Erreur Chi²","Chi-square error"
"Erreur HCPC","HCPC error"
"Graphique :","Plot:"
"La rotation","Rotation"
"Naïve Bayes","Naive Bayes"
"Négligeable","Negligible"
"Pas du tout","Not at all"
"Préparation","Preparation"
"Très faible","Very weak"
"V de Cramér","Cramér's V"
"Variable Y:","Y variable:"
"Variables :","Variables:"
"Variables Y","Y variables"
"À surveiller","To watch"
"Aucune ligne","No rows"
"Classes de Y","Y classes"
"Erreur ACP :","PCA error:"
"Erreur AFD :","LDA error:"
"Erreur ANOVA","ANOVA error"
"Idem + zéros","Same + zeros"
"Non calculée","Not computed"
"Non définie.","Undefined."
"PARAMÈTRES :","SETTINGS:"
"PDF ou HTML.","PDF or HTML."
"Saisonnalité","Seasonality"
"Sélectionner","Select"
"Sélectionnez","Select"
"Aucun fichier","No file"
"Blocs définis","Blocks defined"
"Communautés :","Communities:"
"Erreur MANOVA","MANOVA error"
"Méthode Thêta","Theta method"
"Modèle global","Global model"
"Modèle PLS-DA","PLS-DA model"
"OR non résolu","OR unresolved"
"Prédicteurs X","X predictors"
"Prévisualiser","Preview"
"Répartition :","Distribution:"
"RR non résolu","RR unresolved"
"Supprimée(s):","Removed:"
"Test du signe","Sign test"
"Valeur propre","Eigenvalue"
"Zone à éviter","Zone to avoid"
"Abbott ou EM ?","Abbott or EM?"
"Aires empilées","Stacked areas"
"ANOVA de Welch","Welch's ANOVA"
"Aucun constat.","No finding."
"Bêta (glmmTMB)","Beta (glmmTMB)"
"Classe prédite","Predicted class"
"Écart R2Y - Q2","R2Y - Q2 gap"
"Erreur matrice","Matrix error"
"Erreur rmANOVA","rmANOVA error"
"Kappa de Cohen","Cohen's kappa"
"Labels Légende","Legend labels"
"Lissage activé","Smoothing on"
"Marge d'erreur","Margin of error"
"Modalités de Y","Y categories"
"Non disponible","Not available"
"Non respectées","Not met"
"Régression PLS","PLS regression"
"Résidus élevés","High residuals"
"Recommandé :","Recommended:"
"Réel \ Prédit","Actual \ Predicted"
"Sens des blocs","Block direction"
"Série observée","Observed series"
"Sur-représenté","Over-represented"
"Taille mémoire","Memory size"
"Tau de Kendall","Kendall's tau"
"Test analysé :","Test analysed:"
"Test inconnu :","Unknown test:"
"Test t apparie","Paired t-test"
"Toutes valeurs","All values"
"Très satisfait","Very satisfied"
"Valeur prédite","Predicted value"
"Classe observée","Observed class"
"Corrélation (r)","Correlation (r)"
"Données valides","Valid data"
"Éléments tracés","Plotted elements"
"Erreur filtrage","Filtering error"
"Erreur inconnue","Unknown error"
"Foret aléatoire","Random forest"
"Hyperparamètres","Hyperparameters"
"Lignes filtrées","Filtered rows"
"Moyenne/médiane","Mean/median"
"Naïf saisonnier","Seasonal naive"
"Nombre de cuves","Number of tanks"
"Plutôt d'accord","Somewhat agree"
"Rapport de taux","Rate ratio"
"Résidus normaux","Normal residuals"
"Résultat global","Overall result"
"Rhô de Spearman","Spearman's rho"
"Sélectionner...","Select..."
"Sous-représenté","Under-represented"
"Sur-représentée","Over-represented"
"Téléchargements","Downloads"
"Test impossible","Test not possible"
"Traits des axes","Axis lines"
"Valeur observée","Observed value"
"1 facteur étudié","1 factor studied"
"Analyse complète","Full analysis"
"APA (7e édition)","APA (7th edition)"
"Aperçu en direct","Live preview"
"Axes représentés","Axes shown"
"Bonne prédiction","Good prediction"
"Centrer le titre","Centre the title"
"Chi² de Bartlett","Bartlett's chi-square"
"Colonnes actives","Active columns"
"Coupure suggérée","Suggested cut"
"Détail du calcul","Calculation detail"
"Effectif observé","Observed count"
"Effet multivarié","Multivariate effect"
"Erreur graphique","Plot error"
"Erreur PERMANOVA","PERMANOVA error"
"Groupement par :","Grouping by:"
"Itérations max :","Max iterations:"
"Ligne de lissage","Smoothing line"
"Mise à jour auto","Auto update"
"Modèle inconnu :","Unknown model:"
"Modèle suggère :","Model suggests:"
"Nombre de filles","Number of daughters"
"Nombre de termes","Number of terms"
"PAM (k-médoïdes)","PAM (k-medoids)"
"Pas de structure","No structure"
"Points et traits","Points and lines"
"Prévision future","Future forecast"
"Projet de codage","Coding project"
"Rang de la fille","Daughter rank"
"Répétitions EM :","EM replications:"
"Sélectionnez une","Select a"
"Sens du gradient","Gradient direction"
"Sous-représentée","Under-represented"
"T1 témoin propre","T1 clean control"
"T2 référence 1xR","T2 reference 1xR"
"Tailles de texte","Text sizes"
"Test du Chi2 (p)","Chi-square test (p)"
"Titre par défaut","Default title"
"Très insatisfait","Very dissatisfied"
"Valeurs ajustées","Fitted values"
"Variable-ligne :","Row variable:"
"Vider le tableau","Clear the table"
"1 sortie (valeur)","1 output (value)"
"Alpha de Cronbach","Cronbach's alpha"
"Arbre de décision","Decision tree"
"Chi² (adéquation)","Chi-square (goodness of fit)"
"Critère de Kaiser","Kaiser criterion"
"Données_completes","Complete_data"
"Effet aléatoire :","Random effect:"
"Erreur acceptable","Acceptable error"
"Erreur diagnostic","Diagnostic error"
"Erreur régression","Regression error"
"Export de l'image","Image export"
"Facteur à fixer :","Factor to fix:"
"Groupes homogènes","Homogeneous groups"
"Insérer condition","Insert condition"
"Le risque relatif","The relative risk"
"Ligne de tendance","Trend line"
"Lignes originales","Original rows"
"Lignes supprimées","Removed rows"
"MANOVA terminée :","MANOVA completed:"
"Mémos enregistres","Memos saved"
"Méthode inconnue.","Unknown method."
"Modalités en gras","Categories in bold"
"Nombre de groupes","Number of groups"
"Nombre de niveaux","Number of levels"
"Partition modérée","Moderate partition"
"Pas (intervalle):","Step (interval):"
"Précision (macro)","Precision (macro)"
"Prédiction (test)","Prediction (test)"
"Prédiction faible","Weak prediction"
"Rapport d'analyse","Analysis report"
"RÈGLES ABSOLUES :","ABSOLUTE RULES:"
"Style de citation","Citation style"
"T0 témoin enherbé","T0 grassed control"
"Tableau affiché :","Table shown:"
"Taille du fichier","File size"
"Tailles de police","Font sizes"
"Télécharger Excel","Download Excel"
"Test F global (p)","Overall F test (p)"
"Texte / Caractère","Text / Character"
"Titres & libellés","Titles & labels"
"Type de Graphique","Plot type"
"Valeur propre (λ)","Eigenvalue (λ)"
"Valeurs propres :","Eigenvalues:"
"Variables VIP > 1","VIP variables > 1"
"100 pour stabilité","100 for stability"
"2 facteurs étudiés","2 factors studied"
"ACP sur moyennes :","PCA on means:"
"AFD sur moyennes :","LDA on means:"
"Ajouter ce produit","Add this product"
"Allez à la section","Go to the section"
"Analyse du fichier","File analysis"
"Analyse effectuée.","Analysis completed."
"Apparence des axes","Axis appearance"
"Appréciation Kappa","Kappa rating"
"Aucun segment code","No coded segment"
"Calcul impossible.","Computation not possible."
"Carte des clusters","Cluster map"
"Clé d'API absente.","API key missing."
"Communautés < 0,40","Communalities < 0.40"
"Compatible avec H0","Consistent with H0"
"Données agrégées :","Aggregated data:"
"Entraînement torch","torch training"
"Épaisseur courbe :","Curve thickness:"
"Erreur multinomial","Multinomial error"
"Erreur Multinomial","Multinomial error"
"Erreur stabilité :","Stability error:"
"Erreur suppression","Deletion error"
"Erreur trop élevée","Error too high"
"Éviter cases vides","Avoid empty cells"
"Facteur à tester :","Factor to test:"
"Guide de sélection","Selection guide"
"Guide des méthodes","Method guide"
"Index des lignes :","Row index:"
"Issue de référence","Reference outcome"
"La corrélation est","The correlation is"
"Labels appliqués :","Labels applied:"
"Nuage de mots --","Word cloud --"
"Ligne (gradient 1)","Row (gradient 1)"
"Lignes complètes :","Complete rows:"
"Limites de l'axe Y","Y axis limits"
"Niveaux comparés :","Levels compared:"
"Observé vs attendu","Observed vs expected"
"Options du Boxplot","Boxplot options"
"Paramètres de Date","Date settings"
"Plus petite classe","Smallest class"
"Prédiction modérée","Moderate prediction"
"Puissance modérée.","Moderate power."
"Quantiles observés","Observed quantiles"
"Ratio n/p modéré :","Moderate n/p ratio:"
"Réponses par thème","Responses per topic"
"Résidu standardisé","Standardised residual"
"Séparation modérée","Moderate separation"
"Seuil de référence","Reference threshold"
"Toutes les données","All data"
"Validation croisée","Cross-validation"
"Variable & méthode","Variable & method"
"Variable réponse Y","Y response variable"
"Variable-colonne :","Column variable:"
"10xk pour stabilité","10xk for stability"
"Afficher la légende","Show the legend"
"Afficher les labels","Show labels"
"Afficher les points","Show points"
"Agrégation: Activée","Aggregation: On"
"Ajustement médiocre","Poor fit"
"Analyse impossible.","Analysis not possible."
"Aperçu du graphique","Plot preview"
"Appliquer les Types","Apply types"
"Association modérée","Moderate association"
"Bandes du Facteur 1","Factor 1 bands"
"Bandes du Facteur 2","Factor 2 bands"
"Blocs & séparateurs","Blocks & separators"
"Boîte à l'intérieur","Box inside"
"Calculer le rapport","Compute the ratio"
"Charge standardisée","Standardised loading"
"Comparer les essais","Compare the trials"
"Concordance modérée","Moderate agreement"
"Convergence modérée","Moderate convergence"
"Couleur des repères","Marker colour"
"Couleurs des barres","Bar colours"
"Couleurs et légende","Colours and legend"
"Déjà existante(s) :","Already existing:"
"Détection terminée.","Detection completed."
"Doses et dilutions.","Doses and dilutions."
"Écart interquartile","Interquartile range"
"Écart-type du score","Score standard deviation"
"Effectifs croisés :","Cross-tabulated counts:"
"Effet (voir modèle)","Effect (see model)"
"Entropie de Shannon","Shannon entropy"
